date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:48	29453/29453	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2007:44:15%20GMT	https://templates.envytheme.com/plonk/default/pricing.html	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/pricing.html	(from )
13:40:49	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Jan%202023%2008:10:48%20GMT	https://templates.envytheme.com/robots.txt		(from )
13:40:49	163826/163826	---MCZ	200	added ('OK')	text/css	etag:W/%226229ac56-27ff2%22	https://templates.envytheme.com/plonk/default/assets/css/bootstrap.min.css	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/css/bootstrap.min.css	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:49	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%226229ac56-11846%22	https://templates.envytheme.com/plonk/default/assets/css/animate.min.css	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/css/animate.min.css	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:49	7232/7232	---MCZ	200	added ('OK')	text/css	etag:W/%226229ac57-1c40%22	https://templates.envytheme.com/plonk/default/assets/css/meanmenu.css	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/css/meanmenu.css	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:50	65758/65758	---MCZ	200	added ('OK')	text/css	etag:W/%226229ac56-100de%22	https://templates.envytheme.com/plonk/default/assets/css/boxicons.min.css	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/css/boxicons.min.css	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:50	1908/1908	---MCZ	200	added ('OK')	text/css	etag:W/%226229ac57-774%22	https://templates.envytheme.com/plonk/default/assets/css/flaticon.css	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/css/flaticon.css	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:50	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%226229ac57-c2c%22	https://templates.envytheme.com/plonk/default/assets/css/odometer.min.css	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/css/odometer.min.css	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:50	1327/1327	---MCZ	200	added ('OK')	text/css	etag:W/%226229ac58-52f%22	https://templates.envytheme.com/plonk/default/assets/css/slick.min.css	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/css/slick.min.css	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:50	3357/3357	---MCZ	200	added ('OK')	text/css	etag:W/%226229ac57-d1d%22	https://templates.envytheme.com/plonk/default/assets/css/owl.carousel.min.css	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/css/owl.carousel.min.css	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:51	1019/1019	---MCZ	200	added ('OK')	text/css	etag:W/%226229ac58-3fb%22	https://templates.envytheme.com/plonk/default/assets/css/owl.theme.default.min.css	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/css/owl.theme.default.min.css	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:51	5235/5235	---MCZ	200	added ('OK')	text/css	etag:W/%226229ac57-1473%22	https://templates.envytheme.com/plonk/default/assets/css/magnific-popup.min.css	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/css/magnific-popup.min.css	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:51	163935/163935	---MCZ	200	added ('OK')	text/css	etag:W/%226229ac59-2805f%22	https://templates.envytheme.com/plonk/default/assets/css/style.css	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/css/style.css	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:51	38960/38960	---MCZ	200	added ('OK')	text/css	etag:W/%226229ac56-9830%22	https://templates.envytheme.com/plonk/default/assets/css/dark.css	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/css/dark.css	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:51	26038/26038	---MCZ	200	added ('OK')	text/css	etag:W/%226229ac58-65b6%22	https://templates.envytheme.com/plonk/default/assets/css/responsive.css	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/css/responsive.css	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:52	1819/1819	---M--	200	added ('OK')	image/png	etag:%226229ac5d-14a5%22	https://templates.envytheme.com/plonk/default/assets/images/favicon.png	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/images/favicon.png	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:52	74722/74722	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2007:44:15%20GMT	https://templates.envytheme.com/plonk/default/index.html	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/index.html	(from https://templates.envytheme.com/plonk/default/pricing.html)
